1,"Reference Provider","The user is trying to address a particular functionality and it is looking for references to services that can address the problems. ","Provide a reference to an external service or utility that can provide the needed functionality.","2014-02-26 17:49:47.616",1,1,"2014-02-26 17:49:47.616",""
2,"Trusted Advisor","The answer seeker is looking for advice regarding the recommended or appropriate way to implement a task or complete a set of instructions.  The answer seeker might have an answer or a set of answers and is looking for confirmation.","To answer these types of questions, the answerer should start by providing the recommended answer to address the problem or situation.  Then, the answered should provide some level of reasoning behind the benefits of the selected answer.","2014-02-26 17:50:10.389",1,1,"2014-02-26 17:50:10.389",""
3,"Educator","The answer seeker is looking for an explanation of a topic, error message or code.","The answerer should start by providing a brief description of the error followed by either a reference to where additional information can be found or by a longer explanation of the error.","2014-02-26 17:50:41.63",1,1,"2014-02-26 17:50:41.63",""
4,"Comparator","The answer seeker is trying to determine the difference between two or more topics.","The answerer should provide a comparison between the different options submitted  by the answer seeker.","2014-04-16 06:15:26.724",1,1,"2014-04-16 06:15:26.724",""
5,"Power User","user with many correct answers and has answered.","Helps the user to identify/find users with reputations","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
6,"Alternatives","asking for alternative to a well-known program/service","Provide alternatives to program/service along with comparison to the well-known option.","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
7,"Assignment / Homework Questions","regarding specific projects/ or in class discussion topics or other classroom related stuff	Help students find questions to specific dates/times of tests or projects and other course-specific info.","","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
8,"Cool Stuff","A discussion on something cool, just for fun","","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
9,"Tutorials","Discussions that pose challenges or questions","Reference to outside code or just directly insert code.","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
10,"Debug","Fixing or describing methods for a particular section of code.","Give pseudocode fragment with a related piece of code coupled with an explanation.","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
11,"Previously answered","Similar to reference, however exactly same question with answers","You should share a link with the user and give some details, so he/she can be interested in access the link","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
12,"Well answered / Well Asked","Questions/answers that are generally agreed to be relevant and presented in a good manner.","","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
13,"Bad questions","The asker is asking poorly because …","This question can be better by doing …","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
14,"Summary","Summarize some info, like the possible errors in programming","Browse the previous answers or correct their knowledge to form a summarized answer.","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
15,"Graph","Those questions that contain graphs or diagrams","Answers should include graphs, figures or diagrams.","2015-04-16 06:15:26.724",2,2,"2015-04-16 06:15:26.724",""
